"%s is not supported currency.","%s n'est pas une devise supportée."
"Accept","Accepter"
"Basic","Basique"
"Cannot retreive rate from strikeirion.","Impossible de récupérer le taux sur strikeiron."
"Cannot retrieve rate from %s to %s","Impossible de récupérer le taux de %s vers %s"
"Check all email servers","Vérifiez tous les serveurs email"
"Complete","Terminée"
"Country/Region/Postal code combination","Combinaison de pays/région/code postal"
"Customer Tax Class","Classe de TVA clients"
"Email Verification","Vérification d'email"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","L'adresse email ne peut pas être contrôlée. Vérifiez que vous l'avez saisie correctement."
"Enable US address verification","Activer la vérification d'adresse US"
"Enable email verification","Activer la vérification d'email"
"Enable foreign exchange rate","Activer le taux de change"
"Enable global address verification","Activer la vérification d'adresse globale"
"Enable sales and use tax","Activer la taxe de ventes et d'utilisation"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Error address action","Action d'erreur d'adresse"
"Foreign Exchange Rates","Taux de change"
"Global Address Verification","Vérification d'adresse globale"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si le type est complet et que le code postal correspond à plusieurs taux de TVA, choisir d'appliquer le taux mini ou le taux maxi."
"Invalid email address","Adresse email non valide"
"Maximum tax rate","Taux de TVA maxi"
"Minimum tax rate","Taux de TVA mini"
"Password","Mot de passe"
"Pop up warning and accept","Alerter par une pop-up et accepter"
"Product Tax Class","Classe de TVA produits"
"Reject","Rejeter"
"Sales and Use Tax","Taxe de ventes et d'utilisation"
"Sales and Use Tax Type","Type de taxe de ventes et d'utilisation"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuration de Strikeiron"
"Strikeiron Section","Section Strikeiron"
"Strikeiron foreign exchange rate is disabled","Le taux de change Strikeiron est désactivé"
"Tax","TVA"
"There is an error in retrieving tax rate. Please contact us","Une erreur est survenue lors de la récupération du taux de TVA. Merci de nous contacter."
"There is an error in verifying an email. Please contact us.","Une erreur est survenue lors de la vérification d'email. Merci de nous contacter."
"There is no more hits remaining for the foreign Exchange Rate Service.","Il ne reste plus de crédit pour le service de taux de change."
"There is no response back from Strikeiron server","Aucune réponse du serveur Strikeiron"
"US Address Verification","Vérification d'adresse US"
"Undetermined email action","Action d'email indéterminé"
"Use","Utiliser"
"User ID","ID utilisateur"
"Verify address in admin","Vérifier l'adresse dans l'admin"
"Verify email in admin","Vérifier l'email dans l'admin"
